ID,Component
UBIQUINONE-10[c],0
GLT[e],0
PHENYL-PYRUVATE[c],0
BENZALDEHYDE[c],0
RXN-10462,0
TRANS-RXN1G48-1,0
GUANYLCYC-RXN,0
CPD-24235[c],0
PItex,0
EX_cobalt2,0
RXN-15740,0
RXN-8771,0
PPENTOMUT-RXN,0
CPD-19205[c],0
CPD-14925[c],0
CTP[c],0
5-FORMYL-THF-CYCLO-LIGASE-RXN,0
RXN-11667,0
AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP[c],0
OCTAPRENYL-METHYL-OH-METHOXY-BENZQ[c],0
L-SELENOCYSTEINE[c],0
CPD-18346[c],0
Pi[p],0
AMIDASE-RXN-CPD-14534/WATER//GLYCOLLATE/AMMONIUM.37.,0
HISTOLDEHYD-RXN,0
5-OXOPROLINE[c],0
CPD-24232[c],0
R-3-hydroxystearoyl-ACPs[c],0
PHYTOL[c],0
CHORPYRLY-RXN,0
RIBOSEtex,0
RXN-19796,0
CPD-20264[c],0
RXN66-337,0
RXN-20679,0
EX_MAL,0
CPD-24843[c],0
NITRIC-OXIDE-REDUCTASE-RXN-NITRIC-OXIDE/Cytochromes-C-Reduced/PROTON//NITROUS-OXIDE/Cytochromes-C-Oxidized/WATER.86.,0
DXPREDISOM-RXN,0
DIHYDROXY-BUTANONE-P[c],0
CPD-15244[c],0
RXN-11180,0
OCTAPRENYL-DIPHOSPHATE[c],0
OHBUTYRYL-COA-EPIM-RXN-CPD-650//S-3-HYDROXYBUTANOYL-COA.33.,0
K+[e],0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,0
ASPARTASE-RXN,0
CPD0-2171[c],0
IGPSYN-RXN,0
RXN-16393,0
3-METHYL-CROTONYL-COA[c],0
CPD-19147[c],0
TRANS-RXN1G48-18-CU+2/PROTON//CU+2/PROTON.25.,0
EX_cu2,0
ERYTHROSE[c],0
RXN-22915,0
RXN-9528,0
B-ALANINE[c],0
RXN-19803,0
ACETYLORNTRANSAM-RXN,0
ALLOPHANATE-HYDROLASE-RXN,0
RXN-12198,0
HYPOTAURINE-DEHYDROGENASE-RXN,0
CPD0-2056[c],0
4-METHYLCATECHOL[c],0
BENZIMIDAZOLE[c],0
RXN-16025,0
RXN-8162,0
RXN-8348,0
MERCURY-II-REDUCTASE-RXN,0
RXN-19040,0
RXN-10919,0
RXN-11477,0
RXN-12750,0
RXN-10661,0
BETAINE-ALDEHYDE-HYDRATE[c],0
CPD-24233[c],0
RXN-12611,0
GLYCEROLtpp,0
WATER[p],0
CPD-470[c],0
GLC-D-LACTONE[c],0
CPD-18742[c],0
RXN-5822,0
RXN-21753,0
hdcea[c],0
ACETYL-COA-ACETYLTRANSFER-RXN,0
RXN-11397,0
IONS[c],0
CPD-14018[c],0
3-OXOADIPATE-ENOL-LACTONASE-RXN,0
NADPH[c],0
GLYCOLATEtex,0
L-GLN-FRUCT-6-P-AMINOTRANS-RXN-FRUCTOSE-6P/GLN//CPD-13469/GLT.31.,0
TRANS-RXN-141A,0
RXN-21316,0
SALICYLATE-1-MONOOXYGENASE-RXN,0
RXN-12490,0
RXN-17796,0
OROTPDECARB-RXN,0
CPD-15691[c],0
UMP[c],0
GLT[p],0
RXN-9623,0
2-KETO-3-METHYL-VALERATE[c],0
TAURINEtex,0
PHB-STORAGE-RXN,0
P-BENZOQUINONE[c],0
S-ADENOSYLMETHIONINE[c],0
RXN-20895,0
ABC-13-RXN{{GLT}},0
