source	ec_number	kcat_value	kcat_value_end	kcat_unit	substrate	organism	uniprot_id	bigg_reaction_ids	bigg_match_basis	substrate_mnx	product_mnx	pH	temperature_C	buffer	cellular_location	sabiork_entry_id	sabiork_reaction_id	kegg_reaction_id	reactome_reaction_id	pubmed_id	parameter.name	param_type	substrate_from_param	parameter.standardDeviation	Product
SABIO-RK	5.1.3.1	2.0		1/s	D-Ribulose 5-phosphate	Escherichia coli	P32719	ALLULPE;RPE	ec:1.00+uniprot:1.00=2.00	MNXM145	MNXM186	7.5		[ 50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 Âµg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2]	[unknown, unknown, unknown, unknown]	28897	62	R01529	R-SPO-71303;R-XTR-199803;R-DME-199803;R-OSA-199803;R-CFA-199803;R-CFA-71303;R-MMU-71303;R-GGA-199803;R-HSA-199803;R-HSA-71303;R-DRE-199803;R-DRE-71303;R-PFA-71303;R-XTR-71303;R-SSC-199803;R-TGU-199803;R-BTA-71303;R-ATH-199803;R-OSA-71303;R-SPO-199803;R-DME-71303;R-SCE-199803;R-RNO-71303;R-DDI-199803;R-DDI-71303;R-CEL-199803;R-PFA-199803;R-RNO-199803;R-GGA-71303;R-BTA-199803;R-SCE-71303;R-CEL-71303;R-SSC-71303;R-MMU-199803;R-ATH-71303;R-TGU-71303	18700786.0	kcat	kcat		8E-1	D-Xylulose 5-phosphate
SABIO-RK	2.6.1.85	0.032		1/s	Chorismate;NH3	Escherichia coli	P05041	ADCS	ec:1.00+uniprot:0.50+metabolites:0.50=2.00	MNXM337	MNXM1458	8.5	25.0	[ 100 mM Bicine, 5 mM MgCl2, 20 ÂµM PLP, 13 ÂµM 4-Amino-4-deoxy-chorismate lyase, 200 ÂµM NADH, 4 U/ml Lactate dehydrogenase,  100 mM Bicine, 5 mM MgCl2, 20 ÂµM PLP, 13 ÂµM 4-Amino-4-deoxy-chorismate lyase, 200 ÂµM NADH, 4 U/ml Lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	29354	5157	R05552		14982443.0	kcat	kcat		3E-3	H2O;4-Amino-4-deoxychorismate
SABIO-RK	2.6.1.85	0.032		1/s	Chorismate;NH3	Escherichia coli	P05041	ADCS	ec:1.00+uniprot:0.50+metabolites:0.50=2.00	MNXM337	MNXM1458	8.5	25.0	[ 100 mM Bicine, 5 mM MgCl2, 20 ÂµM PLP, 13 ÂµM 4-Amino-4-deoxy-chorismate lyase, 200 ÂµM NADH, 4 U/ml Lactate dehydrogenase,  100 mM Bicine, 5 mM MgCl2, 20 ÂµM PLP, 13 ÂµM 4-Amino-4-deoxy-chorismate lyase, 200 ÂµM NADH, 4 U/ml Lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	29356	5157	R05552		14982443.0	kcat	kcat		2E-3	4-Amino-4-deoxychorismate;H2O
SABIO-RK	2.6.1.85	0.53		1/s	L-Glutamine;Chorismate	Escherichia coli	P00903 P05041 P05041	ADCS	ec:1.00+uniprot:1.00+metabolites:0.75=2.75	MNXM337	MNXM1458;MNXM741173	8.5	25.0	[ 100 mM Bicine, 5 mM MgCl2, 20 ÂµM PLP, 13 ÂµM 4-Amino-4-deoxy-chorismate lyase, 200 ÂµM NADH, 4 U/ml Lactate dehydrogenase,  100 mM Bicine, 5 mM MgCl2, 20 ÂµM PLP, 13 ÂµM 4-Amino-4-deoxy-chorismate lyase, 200 ÂµM NADH, 4 U/ml Lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	29359	1828	R01716		14982443.0	kcat	kcat		2E-2	L-Glutamate;4-Amino-4-deoxychorismate
SABIO-RK	1.3.98.1	0.001883333		1/s	L-Dihydroorotate;2,3-Dimethoxy-5-methyl-1,4-benzoquinone	Escherichia coli		DHORDfum	ec:1.00+metabolites:0.42=1.42	MNXM252	MNXM235;MNXM7856	8.0	37.0	[ 0.1 M Tris-HCl, 0.1 mM EDTA,  0.1 M Tris-HCl, 0.1 mM EDTA]	[unknown, unknown, unknown, unknown, unknown, unknown]	29771	11281			10074342.0	kcat	kcat		-	2,3-Dimethoxy-5-methyl-1,4-benzoquinol;Orotate
SABIO-RK	1.3.98.1	0.00509		1/s	L-Dihydroorotate;Acceptor	Escherichia coli		DHORDfum	ec:1.00+metabolites:0.42=1.42	MNXM252	MNXM1102419;MNXM235	8.0	37.0	[ 0.1 M Tris-HCl, 0.1 mM EDTA,  0.1 M Tris-HCl, 0.1 mM EDTA]	[unknown, unknown, unknown, unknown, unknown, unknown]	29772	1935			10074342.0	kcat	kcat		6.666667E-5	Reduced acceptor;Orotate
SABIO-RK	4.1.2.13	8.166667		1/s	D-Fructose 1,6-bisphosphate	Escherichia coli	P0AB71	FBA3	ec:1.00+uniprot:1.00+metabolites:0.17=2.17		MNXM1372045;MNXM77	8.0	30.0	[ 50 mM Tris-HCl, 5 ÂµM Zn2+, 20 mM NADH, 2 Âµl of 10 mg/ml mixture of triosephosphate isomerase/glycerol-3-phosphate dehydrogenase,  50 mM Tris-HCl, 5 ÂµM Zn2+, 20 mM NADH, 2 Âµl of 10 mg/ml mixture of triosephosphate isomerase/glycerol-3-phosphate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	29879	1338	R01070		9878448.0	kcat	kcat		4.333333E-1	D-Glyceraldehyde 3-phosphate;Glycerone phosphate
SABIO-RK	4.1.2.13	2.333333		1/s	D-Fructose 1,6-bisphosphate	Escherichia coli	P0AB71	FBA3	ec:1.00+uniprot:1.00+metabolites:0.17=2.17		MNXM1372045;MNXM77	8.0	30.0	[ 50 mM Tris-HCl, 0.1 M potassium acetate, 2 mM potassium hexacyanoferrate (III),  50 mM Tris-HCl, 0.1 M potassium acetate, 2 mM potassium hexacyanoferrate (III)]	[unknown, unknown, unknown, unknown, unknown]	29887	1338	R01070		9878448.0	kcat	kcat		8.333333E-2	Glycerone phosphate;D-Glyceraldehyde 3-phosphate
SABIO-RK	4.1.2.13	2.833333		1/s	Glycerone phosphate;D-Glyceraldehyde 3-phosphate	Escherichia coli	P0AB71	FBA3	ec:1.00+uniprot:1.00+metabolites:0.17=2.17		MNXM1372045;MNXM77	8.0	30.0	[ 50 mM Tris-HCl, 0.1 M potassium acetate, 2 mM potassium hexacyanoferrate (III),  50 mM Tris-HCl, 0.1 M potassium acetate, 2 mM potassium hexacyanoferrate (III)]	[unknown, unknown, unknown, unknown, unknown]	29893	1338	R01070		9878448.0	kcat	kcat		8.333333E-2	D-Fructose 1,6-bisphosphate
SABIO-RK	4.1.2.13	10.5		1/s	D-Fructose 1,6-bisphosphate	Escherichia coli	P0AB71	FBA3	ec:1.00+uniprot:1.00+metabolites:0.17=2.17		MNXM1372045;MNXM77	8.0	30.0	[ 50 mM Tris-HCl, 20 mM NADH, Glycerol phosphate dehydrogenase, Triosephosphate isomerase,  50 mM Tris-HCl, 20 mM NADH, Glycerol phosphate dehydrogenase, Triosephosphate isomerase]	[unknown, unknown, unknown, unknown]	30021	1338	R01070		10712619.0	kcat	kcat		6.666667E-1	Glycerone phosphate;D-Glyceraldehyde 3-phosphate
