source	sabiork_entry_id	organism	uniprot_id	ec_number	parameter.name	param_type	substrate_from_param	kcat_value	kcat_value_end	parameter.standardDeviation	kcat_unit	substrate	Product	pH	temperature_C	buffer	cellular_location	sabiork_reaction_id	kegg_reaction_id	reactome_reaction_id	pubmed_id
SABIO-RK	100	Escherichia coli	P0ABQ4	1.5.1.3	k_cat	kcat		6.18		-	1/s	Dihydrofolate;NADPH;H+	5,6,7,8-Tetrahydrofolate;NADP+	7.0	15.0	[ 50 mM Morpholinoethanesulfonic acid, 25 mM tris(hydroxymethyl)aminomethane, 25 mM ethanolamine, 100 mM NaCl, 14 mM 2-mercaptoethanol,  50 mM Morpholinoethanesulfonic acid, 25 mM tris(hydroxymethyl)aminomethane, 25 mM ethanolamine, 100 mM NaCl, 14 mM 2-mercaptoethanol]	[unknown, unknown, unknown, unknown, unknown, unknown]	100	R00939	R-DRE-197972;R-SSC-197972;R-MMU-197972;R-XTR-197972;R-CEL-197972;R-HSA-197972;R-SCE-197972;R-BTA-197972;R-CFA-197972;R-TGU-197972;R-DDI-197972;R-GGA-197972;R-SPO-197972;R-DME-197972;R-RNO-197972	15740745
SABIO-RK	304	Escherichia coli	P63944 P0A6L2 P63943	4.3.3.7	kcat	kcat		124.0		-	1/s	L-Aspartate 4-semialdehyde;Pyruvate	H2O;L-2,3-Dihydrodipicolinate	8.0	30.0	[ 100 mM HEPES,  100 mM HEPES]	[unknown, unknown, unknown, unknown, unknown]	2256	R02292		15194235
SABIO-RK	1038	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		12.5		5E-1	1/s	2-Oxoglutarate;Taurine;O2	Succinate;Sulfite;Aminoacetaldehyde;CO2	8.0	30.0	[ 5 mM Tris/HCl,  5 mM Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	4928	R05320		15751960
SABIO-RK	1050	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		10.4		-	1/s	Taurine;O2;2-Oxoglutarate	Aminoacetaldehyde;CO2;Sulfite;Succinate	6.9	30.0	[ 10 mM imidazole,  10 mM imidazole]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	4928	R05320		15751960
SABIO-RK	1052	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		2.1		6E-1	1/s	2-Oxoglutarate;O2;Pentanesulfonic acid	Sulfite;Succinate;CO2;Pentanal	6.9	30.0	[ 10 mM imidazole,  10 mM imidazole]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6541			15751960
SABIO-RK	1055	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		3.5		-	1/s	Pentanesulfonic acid;2-Oxoglutarate;O2	Succinate;Sulfite;Pentanal;CO2	8.0	30.0	[ 5 mM Tris/HCl,  5 mM Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6541			15751960
SABIO-RK	1058	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		0.95		3E-2	1/s	O2;2-Oxoglutarate;3-N-Morpholinopropanesulfonic acid	CO2;3-N-Morpholinopropanal;Sulfite;Succinate	6.9	30.0	[ 10 mM imidazole,  10 mM imidazole]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6485			15751960
SABIO-RK	1061	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		1.7		7E-1	1/s	O2;2-Oxoglutarate;3-N-Morpholinopropanesulfonic acid	3-N-Morpholinopropanal;Succinate;CO2;Sulfite	8.0	30.0	[ 5 mM Tris/HCl,  5 mM Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6485			15751960
SABIO-RK	1062	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		1.83		6.3E-1	1/s	3-N-Morpholinopropanesulfonic acid;2-Oxoglutarate;O2	CO2;Sulfite;3-N-Morpholinopropanal;Succinate	8.0	30.0	[ 5 mM Tris/HCl,  5 mM Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6485			15751960
SABIO-RK	1063	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		1.67		2.2E-1	1/s	3-N-Morpholinopropanesulfonic acid;2-Oxoglutarate;O2	CO2;Succinate;3-N-Morpholinopropanal;Sulfite	8.0	30.0	[ 5 mM Tris/HCl,  5 mM Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6485			15751960
SABIO-RK	1754	Escherichia coli	P0AE18	3.4.11.18	kcat	kcat		39.0		-	1/s	H2O;Met-Gly-Met-Met	L-Methionine;Gly-Met-Met	7.5	30.0	[ 25 mM HEPES, 150 mM KCl,  25 mM HEPES, 150 mM KCl]	[unknown, unknown, unknown, unknown, unknown, unknown]	6747			12755633
SABIO-RK	1756	Escherichia coli	P0AE18	3.4.11.18	kcat	kcat		28.0		-	1/s	H2O;Met-Gly-Met-Met	L-Methionine;Gly-Met-Met	7.5	30.0	[ 25 mM HEPES, 150 mM KCl,  25 mM HEPES, 150 mM KCl]	[unknown, unknown, unknown, unknown, unknown, unknown]	6747			12755633
SABIO-RK	1758	Escherichia coli	P0AE18	3.4.11.18	kcat	kcat		0.59		-	1/s	H2O;Met-Pro-p-nitroanilide	Prolyl-p-nitroanilide;L-Methionine	7.5	30.0	[ 25 mM HEPES, 150 mM KCl,  25 mM HEPES, 150 mM KCl]	[unknown, unknown, unknown, unknown, unknown, unknown]	6748			12755633
SABIO-RK	1760	Escherichia coli	P0AE18	3.4.11.18	kcat	kcat		1.4		-	1/s	Met-Pro-p-nitroanilide;H2O	Prolyl-p-nitroanilide;L-Methionine	7.5	30.0	[ 25 mM HEPES, 150 mM KCl,  25 mM HEPES, 150 mM KCl]	[unknown, unknown, unknown, unknown, unknown, unknown]	6748			12755633
SABIO-RK	1762	Escherichia coli	P0AE18	3.4.11.18	kcat_max	kcat		83.33333		1.666667E1	1/s	H2O;Met-Gly-Met-Met	Gly-Met-Met;L-Methionine	5.5	30.0	[ 30 mM MES (pH 5.5-6.0) / PIPES (pH 6.5-6.75) / HEPES (pH 7.0-8.0) / EPPS (pH 8.0-8.5), 150 mM KCl,  30 mM MES (pH 5.5-6.0) / PIPES (pH 6.5-6.75) / HEPES (pH 7.0-8.0) / EPPS (pH 8.0-8.5), 150 mM KCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6747			12755633
SABIO-RK	1868	Escherichia coli	P60906 P60908 P60907	6.1.1.21	kcat1	kcat		130.0		5E0	1/s	L-Histidine;ATP;tRNA(His)	L-Histidyl-tRNA(His);Diphosphate;AMP	7.5	37.0	[ 10 mM HEPES, 100 mM KCl, 1 mM DTT, 10 mM MgCl2,  10 mM HEPES, 100 mM KCl, 1 mM DTT, 10 mM MgCl2]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	410	R03655	R-HSA-380234;R-HSA-379844	15751955
SABIO-RK	1868	Escherichia coli	P60906 P60908 P60907	6.1.1.21	kcat2	kcat		2.02		-	1/s	L-Histidine;ATP;tRNA(His)	L-Histidyl-tRNA(His);Diphosphate;AMP	7.5	37.0	[ 10 mM HEPES, 100 mM KCl, 1 mM DTT, 10 mM MgCl2,  10 mM HEPES, 100 mM KCl, 1 mM DTT, 10 mM MgCl2]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	410	R03655	R-HSA-380234;R-HSA-379844	15751955
SABIO-RK	1973	Escherichia coli	P21888 Q8XCT9 Q8FK44	6.1.1.16	kcat_A	kcat		99.6		7.8E0	1/s	ATP;L-Cysteine;tRNA(Cys)	L-Cysteinyl-tRNA(Cys);Diphosphate;AMP	7.5	22.0	[ 20 mM Tris-HCl, 1 mM DTT,  20 mM Tris-HCl, 1 mM DTT]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	405	R03650	R-HSA-379887;R-HSA-380158	12974627
SABIO-RK	1973	Escherichia coli	P21888 Q8XCT9 Q8FK44	6.1.1.16	kcat_B	kcat		141.9		1.2E0	1/s	ATP;L-Cysteine;tRNA(Cys)	L-Cysteinyl-tRNA(Cys);Diphosphate;AMP	7.5	22.0	[ 20 mM Tris-HCl, 1 mM DTT,  20 mM Tris-HCl, 1 mM DTT]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	405	R03650	R-HSA-379887;R-HSA-380158	12974627
SABIO-RK	1986	Escherichia coli	Q8FK44 Q8XCT9 P21888	6.1.1.16	kcat	kcat		2.46		6E-2	1/s	ATP;L-Cysteine;tRNA(Cys)	AMP;Diphosphate;L-Cysteinyl-tRNA(Cys)	6.0	30.0	[ 25 mM sodium acetate, 10 mM MgCl2, 5 mM DTT,  25 mM sodium acetate, 10 mM MgCl2, 5 mM DTT]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	405	R03650	R-HSA-379887;R-HSA-380158	12974627
SABIO-RK	2037	Escherichia coli	P0A8V0	3.1	kcat	kcat		60.0		6E0	1/s	Bis-4-nitrophenyl phosphate;H2O	4-Nitrophenyl phosphate;p-Nitrophenol	7.4	22.0	[ 50 mM Tris-HCl, 0.1% Triton-X-100,  50 mM Tris-HCl, 0.1% Triton-X-100]	[unknown, unknown, unknown, unknown, unknown]	6769			15301536
SABIO-RK	2435	Escherichia coli	P0A9P4	1.8.1.9	Kcat	kcat		20.83333		1.666667E0	1/s	H+;NADPH;Oxidized thioredoxin	NADP+;Reduced thioredoxin	7.0	25.0	[ 0.1 M sodium phosphate, 2 mM EDTA, 0.1 mg/ml BSA, 0.5 mM 5,5'-dithiobis(2-nitrobenzoic acid),  0.1 M sodium phosphate, 2 mM EDTA, 0.1 mg/ml BSA, 0.5 mM 5,5'-dithiobis(2-nitrobenzoic acid)]	[unknown, unknown, unknown, unknown, unknown, unknown]	489	R02016		14744138
SABIO-RK	2436	Escherichia coli	P0A9P4	1.8.1.9	Kcat	kcat		17.83333		3.333333E0	1/s	H+;Oxidized thioredoxin;NADPH	Reduced thioredoxin;NADP+	7.0	25.0	[ 0.1 M sodium phosphate, 2 mM EDTA, 0.1 mg/ml BSA, 0.5 mM 5,5'-dithiobis(2-nitrobenzoic acid),  0.1 M sodium phosphate, 2 mM EDTA, 0.1 mg/ml BSA, 0.5 mM 5,5'-dithiobis(2-nitrobenzoic acid)]	[unknown, unknown, unknown, unknown, unknown, unknown]	489	R02016		14744138
SABIO-RK	2598	Escherichia coli		2.5.1.55	kcat	kcat		4.5		-	1/s	D-Arabinose 5-phosphate;Phosphoenolpyruvate;H2O	3-Deoxy-D-manno-octulosonate 8-phosphate;Phosphate	7.8	22.0	[ 50 mM Tris-HCl,  50 mM Tris-HCl]	[unknown, unknown, unknown, unknown, unknown, unknown]	3075	R03254		14701842
SABIO-RK	2618	Escherichia coli		6.3.4.2	kcat	kcat		9.5		5.3E-1	1/s	UTP;ATP;NH3	ADP;CTP;Phosphate	8.0	37.0	[ 70 mM HEPES, 0.5 mM EGTA, 10 mM MgCl2,  70 mM HEPES, 0.5 mM EGTA, 10 mM MgCl2]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	458	R00571		15511226
SABIO-RK	2619	Escherichia coli		6.3.4.2	kcat	kcat		6.1		8E-1	1/s	L-Glutamine;ATP;UTP;H2O	ADP;Phosphate;L-Glutamate;CTP	8.0	37.0	[ 70 mM HEPES, 0.5 mM EGTA, 10 mM MgCl2, 0.25 mM GTP,  70 mM HEPES, 0.5 mM EGTA, 10 mM MgCl2, 0.25 mM GTP]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	459	R00573		15511226
SABIO-RK	2622	Escherichia coli		6.3.4.2	kcat	kcat		14.0		1.8E0	1/s	ATP;UTP;Hydroxylamine	N4-Hydroxyl-CTP;ADP;Phosphate	8.0	37.0	[ 70 mM HEPES, 0.5 mM EGTA, 10 mM MgCl2,  70 mM HEPES, 0.5 mM EGTA, 10 mM MgCl2]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6951			15511226
SABIO-RK	2626	Escherichia coli		6.3.4.2	kcat	kcat		0.453		1E-3	1/s	L-gamma-Glutamyl hydroxamate;ATP;UTP;H2O	L-Glutamate;Phosphate;N4-Hydroxyl-CTP;ADP	8.0	37.0	[ 70 mM HEPES, 0.5 mM EGTA, 10 mM MgCl2, 0.25 mM GTP,  70 mM HEPES, 0.5 mM EGTA, 10 mM MgCl2, 0.25 mM GTP]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6953			15511226
SABIO-RK	2628	Escherichia coli		6.3.4.2	kcat	kcat		1.41		4E-2	1/s	H2O;L-gamma-Glutamyl hydrazide;UTP;ATP	N4-Amino-CTP;ADP;Phosphate;L-Glutamate	8.0	37.0	[ 70 mM HEPES, 0.5 mM EGTA, 10 mM MgCl2, 0.25 mM GTP,  70 mM HEPES, 0.5 mM EGTA, 10 mM MgCl2, 0.25 mM GTP]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6952			15511226
SABIO-RK	2629	Escherichia coli		6.3.4.2	kcat	kcat		5.62		1.2E-1	1/s	L-Glutamine;H2O	NH3;L-Glutamate	8.0	37.0	[ 70 mM HEPES, 0.5 mM EGTA, 10 mM MgCl2, 1 mM ATP, 1 mM UTP, 0.25 mM GTP,  70 mM HEPES, 0.5 mM EGTA, 10 mM MgCl2, 1 mM ATP, 1 mM UTP, 0.25 mM GTP]	[unknown, unknown, unknown, unknown, unknown]	762	R00256	R-XTR-70609;R-GGA-70609;R-BTA-70609;R-TGU-70609;R-DME-70609;R-HSA-70609;R-DDI-70609;R-SSC-70609;R-CEL-70609;R-RNO-70609;R-CFA-70609;R-MMU-70609;R-DRE-70609	15511226
SABIO-RK	2631	Escherichia coli		6.3.4.2	kcat	kcat		0.93		4E-2	1/s	H2O;L-gamma-Glutamyl hydroxamate	L-Glutamate;Hydroxylamine	8.0	37.0	[ 70 mM HEPES, 0.5 mM EGTA, 10 mM MgCl2, 1 mM ATP, 1 mM UTP, 0.25 mM GTP,  70 mM HEPES, 0.5 mM EGTA, 10 mM MgCl2, 1 mM ATP, 1 mM UTP, 0.25 mM GTP]	[unknown, unknown, unknown, unknown, unknown]	6921			15511226
SABIO-RK	2737	Escherichia coli	P05020	3.5.2.3	kcat	kcat		160.0		8E0	1/s	N-Carbamoyl-L-aspartate	H2O;L-Dihydroorotate	5.8	-	[ 50 mM MES]	[unknown, unknown, unknown, unknown]	399	R01993	R-SPO-73571;R-DDI-73571;R-DME-73571;R-TGU-73571;R-SSC-73571;R-GGA-73571;R-CFA-73571;R-GGA-419465;R-RNO-73571;R-XTR-73571;R-PFA-73571;R-HSA-73571;R-MMU-73571;R-DRE-73571;R-BTA-73571;R-SCE-73571;R-OSA-73571;R-ATH-73571;R-CEL-73571	15610022
SABIO-RK	2738	Escherichia coli	P05020	3.5.2.3	kcat	kcat		100.0		1.6E0	1/s	H2O;L-Dihydroorotate	N-Carbamoyl-L-aspartate	8.0	-	[ 50 mM HEPES]	[unknown, unknown, unknown, unknown]	399	R01993	R-PFA-73571;R-DDI-73571;R-RNO-73571;R-CFA-73571;R-DRE-73571;R-XTR-73571;R-SSC-73571;R-MMU-73571;R-SPO-73571;R-OSA-73571;R-GGA-419465;R-BTA-73571;R-TGU-73571;R-CEL-73571;R-SCE-73571;R-DME-73571;R-GGA-73571;R-ATH-73571;R-HSA-73571	15610022
SABIO-RK	2739	Escherichia coli	P05020	3.5.2.3	kcat	kcat		4.4		2E-1	1/s	L-6-Thiodihydroorotate;H2O	N-Carbamoyl-L-aspartate	8.0	-	[ 50 mM HEPES]	[unknown, unknown, unknown, unknown]	6924			15610022
SABIO-RK	2740	Escherichia coli	P05020	3.5.2.3	kcat	kcat		25.0		1.4E0	1/s	N-Carbamoyl-L-aspartate	L-Dihydroorotate;H2O	5.8	-	[ 50 mM MES]	[unknown, unknown, unknown, unknown]	399	R01993	R-OSA-73571;R-XTR-73571;R-SPO-73571;R-HSA-73571;R-DRE-73571;R-ATH-73571;R-RNO-73571;R-CEL-73571;R-GGA-73571;R-MMU-73571;R-GGA-419465;R-SCE-73571;R-CFA-73571;R-BTA-73571;R-DME-73571;R-TGU-73571;R-SSC-73571;R-DDI-73571;R-PFA-73571	15610022
SABIO-RK	2741	Escherichia coli	P05020	3.5.2.3	kcat	kcat		15.0		1.4E0	1/s	H2O;L-Dihydroorotate	N-Carbamoyl-L-aspartate	8.0	-	[ 50 mM HEPES]	[unknown, unknown, unknown, unknown]	399	R01993	R-SPO-73571;R-SSC-73571;R-XTR-73571;R-OSA-73571;R-CEL-73571;R-DME-73571;R-DRE-73571;R-CFA-73571;R-MMU-73571;R-TGU-73571;R-BTA-73571;R-PFA-73571;R-HSA-73571;R-ATH-73571;R-DDI-73571;R-GGA-419465;R-SCE-73571;R-RNO-73571;R-GGA-73571	15610022
SABIO-RK	2742	Escherichia coli	P05020	3.5.2.3	kcat	kcat		8.2		2E-1	1/s	N-Carbamoyl-L-aspartate	H2O;L-Dihydroorotate	5.8	-	[ 50 mM MES]	[unknown, unknown, unknown, unknown]	399	R01993	R-TGU-73571;R-XTR-73571;R-RNO-73571;R-ATH-73571;R-SSC-73571;R-MMU-73571;R-GGA-73571;R-HSA-73571;R-DDI-73571;R-GGA-419465;R-DRE-73571;R-SCE-73571;R-OSA-73571;R-CFA-73571;R-SPO-73571;R-CEL-73571;R-DME-73571;R-BTA-73571;R-PFA-73571	15610022
SABIO-RK	2743	Escherichia coli	P05020	3.5.2.3	kcat	kcat		1.9		3E-1	1/s	L-Dihydroorotate;H2O	N-Carbamoyl-L-aspartate	8.0	-	[ 50 mM HEPES]	[unknown, unknown, unknown, unknown]	399	R01993	R-CFA-73571;R-DDI-73571;R-PFA-73571;R-XTR-73571;R-SCE-73571;R-GGA-419465;R-DME-73571;R-ATH-73571;R-RNO-73571;R-TGU-73571;R-DRE-73571;R-GGA-73571;R-SPO-73571;R-CEL-73571;R-MMU-73571;R-BTA-73571;R-SSC-73571;R-OSA-73571;R-HSA-73571	15610022
SABIO-RK	2744	Escherichia coli	P05020	3.5.2.3	kcat	kcat		0.42		1E-2	1/s	H2O;L-6-Thiodihydroorotate	N-Carbamoyl-L-aspartate	8.0	-	[ 50 mM HEPES]	[unknown, unknown, unknown, unknown]	6924			15610022
SABIO-RK	2866	Escherichia coli	P0A8M4 P0A8M3 Q8XE27	6.1.1.3	kcat	kcat		90.0		-	1/s	ATP;L-Threonine;tRNA(Thr)	Diphosphate;L-Threonyl-tRNA(Thr);AMP	-	-	[-]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	391	R03663	R-HSA-380002;R-HSA-380201	14690420
SABIO-RK	2868	Escherichia coli	Q8XE27 P0A8M3 P0A8M4	6.1.1.3	kcat	kcat		90.0		-	1/s	L-Threonine;ATP;tRNA(Thr)	AMP;L-Threonyl-tRNA(Thr);Diphosphate	-	-	[-]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	391	R03663	R-HSA-380002;R-HSA-380201	14690420
SABIO-RK	3148	Escherichia coli		4.1.2.13	kcat	kcat		10.5		6.666667E-2	1/s	D-Fructose 1,6-bisphosphate	D-Glyceraldehyde 3-phosphate;Glycerone phosphate	8.0	30.0	[ 50 mM Tris-HCl, 20 mM NADH, Glycerol phosphate dehydrogenase, Triose phosphate isomerase,  50 mM Tris-HCl, 20 mM NADH, Glycerol phosphate dehydrogenase, Triose phosphate isomerase]	[unknown, unknown, unknown, unknown]	1338	R01068		12626743
SABIO-RK	3149	Escherichia coli	Q1R438	4.1.2.40	kcat	kcat		0.06833333		5.833333E-3	1/s	D-Fructose 1,6-bisphosphate	D-Glyceraldehyde 3-phosphate;Glycerone phosphate	8.0	30.0	[ 50 mM Tris-HCl, 20 mM NADH, Glycerol phosphate dehydrogenase, Triose phosphate isomerase,  50 mM Tris-HCl, 20 mM NADH, Glycerol phosphate dehydrogenase, Triose phosphate isomerase]	[unknown, unknown, unknown, unknown]	1338	R01068		12626743
SABIO-RK	10027	Escherichia coli	P00490	2.4.1.1	kcat	kcat		28.0		1.4E0	1/s	Phosphate;Maltoheptaose	alpha-D-Glucose 1-phosphate;Maltohexaose	-	30.0	[ -]	[unknown, unknown, unknown, unknown, unknown]	7988			7905479
SABIO-RK	10030	Escherichia coli	P00490	2.4.1.1	kcat	kcat		45.0		2.25E0	1/s	alpha-1,4-(2-Deoxyglucosyl)-(glucose)4;Phosphate	Maltotetraose;alpha-2-Deoxyglucose 1-phosphate	6.9	30.0	[ 50 mM Tris-acetate, 20 mM KH2PO4,  50 mM Tris-acetate, 20 mM KH2PO4]	[unknown, unknown, unknown, unknown, unknown]	7924			7905479
SABIO-RK	10033	Escherichia coli	P00490	2.4.1.1	kcat	kcat		38.0		1.9E0	1/s	alpha-D-Glucose 1-phosphate;Maltotetraose	Phosphate;Maltopentaose	-	30.0	[ -]	[unknown, unknown, unknown, unknown, unknown]	6523			7905479
SABIO-RK	10036	Escherichia coli	P00490	2.4.1.1	kcat	kcat		73.0		3.65E0	1/s	alpha-2-Deoxyglucose 1-phosphate;Maltotetraose	alpha-1,4-(2-Deoxyglucosyl)-(glucose)4;Phosphate	-	30.0	[ -]	[unknown, unknown, unknown, unknown, unknown]	7924			7905479
SABIO-RK	10039	Escherichia coli	P00490	2.4.1.1	kcat	kcat		38.0		1.9E0	1/s	Maltotetraose;alpha-D-Glucose 1-phosphate	Maltopentaose;Phosphate	-	30.0	[ -]	[unknown, unknown, unknown, unknown, unknown]	6523			7905479
SABIO-RK	10042	Escherichia coli	P00490	2.4.1.1	kcat	kcat		36.0		1.8E0	1/s	alpha-D-Glucose 1-phosphate;alpha-1,4-(2-Deoxyglucosyl)-(glucose)4	alpha-1,4-(2-Deoxyglucosyl)-(glucose)5;Phosphate	-	30.0	[ -]	[unknown, unknown, unknown, unknown, unknown]	7925			7905479
SABIO-RK	10050	Escherichia coli	P17109	2.2.1.9 4.2.99.20	kcat	kcat		0.1666667		-	1/s	2-Oxoglutarate;Isochorismate	CO2;Pyruvate;2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	8.5	25.0	[ 100 mM Tris-HCl, 100 mM KCl, 1 mM ditiothreitol, 2 Âµl (of 12.5 unit/Âµl) rabbit muscle LDH, 40 ÂµM NADH,  100 mM Tris-HCl, 100 mM KCl, 1 mM ditiothreitol, 2 Âµl (of 12.5 unit/Âµl) rabbit muscle LDH, 40 ÂµM NADH]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6435			14621995
SABIO-RK	10051	Escherichia coli	P17109	2.2.1.9 4.2.99.20	kcat	kcat		0.1666667		-	1/s	Isochorismate;2-Oxoglutarate	Pyruvate;CO2;2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	8.5	25.0	[ 100 mM Tris-HCl, 100 mM KCl, 1 mM ditiothreitol, 2 Âµl (of 12.5 unit/Âµl) rabbit muscle LDH, 40 ÂµM NADH,  100 mM Tris-HCl, 100 mM KCl, 1 mM ditiothreitol, 2 Âµl (of 12.5 unit/Âµl) rabbit muscle LDH, 40 ÂµM NADH]	[unknown, unknown, unknown, unknown, unknown, unknown]	6435			14621995
SABIO-RK	10052	Escherichia coli	P17109	2.2.1.9 4.2.99.20	kcat	kcat		0.1666667		-	1/s	Isochorismate;2-Oxoglutarate	CO2;Pyruvate;2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	8.5	25.0	[ 100 mM Tris-HCl, 100 mM KCl, 1 mM ditiothreitol, 2 Âµl (of 12.5 unit/Âµl) rabbit muscle LDH, 40 ÂµM NADH,  100 mM Tris-HCl, 100 mM KCl, 1 mM ditiothreitol, 2 Âµl (of 12.5 unit/Âµl) rabbit muscle LDH, 40 ÂµM NADH]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6435			14621995
SABIO-RK	10053	Escherichia coli	P17109	2.2.1.9 4.2.99.20	kcat	kcat		0.1666667		-	1/s	Isochorismate;2-Oxoglutarate	CO2;Pyruvate;2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	8.5	25.0	[ 100 mM Tris-HCl, 100 mM KCl, 1 mM ditiothreitol, 2 Âµl (of 12.5 unit/Âµl) rabbit muscle LDH, 40 ÂµM NADH,  100 mM Tris-HCl, 100 mM KCl, 1 mM ditiothreitol, 2 Âµl (of 12.5 unit/Âµl) rabbit muscle LDH, 40 ÂµM NADH]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6435			14621995
SABIO-RK	10927	Escherichia coli	P0AES2	4.2.1.40	kcat	kcat		35.0		-	1/s	D-Glucarate	H2O;5-Dehydro-4-deoxy-D-glucarate	7.5	22.0	[ 50 mM Tris-HCl, 5 mM MgCl2,  50 mM Tris-HCl, 5 mM MgCl2]	[unknown, unknown, unknown, unknown]	2632	R02752		10769114
SABIO-RK	10936	Escherichia coli	P0AES2	4.2.1.40	kcat	kcat		34.0		-	1/s	L-Idarate	5-Dehydro-4-deoxy-D-glucarate;H2O	7.5	22.0	[ 50 mM Tris-HCl, 5 mM MgCl2,  50 mM Tris-HCl, 5 mM MgCl2]	[unknown, unknown, unknown, unknown]	8031			10769114
SABIO-RK	11033	Escherichia coli	P24182	6.3.4.14	kcat	kcat		0.005166667		1.666667E-4	1/s	ADP;Carbamoyl phosphate	ATP;Carbamate	8.0	25.0	[ 100 mM HEPES, 0.5 mM glucose, 0.4 mM NADP, 5 U hexokinase, 5 U glucose-6-phosphate dehydrogenase, 8 mM MgCl2,  100 mM HEPES, 0.5 mM glucose, 0.4 mM NADP, 5 U hexokinase, 5 U glucose-6-phosphate dehydrogenase, 8 mM MgCl2]	[unknown, unknown, unknown, unknown, unknown]	1589	R01395		10747803
SABIO-RK	11034	Escherichia coli	P24182	6.3.4.14	kcat	kcat		0.005166667		1.666667E-4	1/s	Carbamoyl phosphate;ADP	ATP;Carbamate	8.0	25.0	[ 100 mM HEPES, 0.5 mM glucose, 0.4 mM NADP, 5 U hexokinase, 5 U glucose-6-phosphate dehydrogenase, 8 mM MgCl2,  100 mM HEPES, 0.5 mM glucose, 0.4 mM NADP, 5 U hexokinase, 5 U glucose-6-phosphate dehydrogenase, 8 mM MgCl2]	[unknown, unknown, unknown, unknown, unknown]	1589	R01395		10747803
SABIO-RK	11042	Escherichia coli	P24182	6.3.4.14	kcat	kcat		1.23		6.333333E-2	1/s	ATP;Holo-[carboxylase];Hydrogencarbonate	ADP;Carboxybiotin-carboxyl-carrier protein;Phosphate	8.0	25.0	[ 100 mM HEPES, 8 mM MgCl2,  100 mM HEPES, 8 mM MgCl2]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	4080	R04385		10747803
SABIO-RK	11044	Escherichia coli	P24182	6.3.4.14	kcat	kcat		0.001		6.666667E-5	1/s	ATP;Hydrogencarbonate;Holo-[carboxylase]	Carboxybiotin-carboxyl-carrier protein;ADP;Phosphate	8.0	25.0	[ 100 mM HEPES, 8 mM MgCl2,  100 mM HEPES, 8 mM MgCl2]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	4080	R04385		10747803
SABIO-RK	11602	Escherichia coli	P06875	3.5.1.11	kcat	kcat		16.2		-	1/s	2-Nitro-5-[(Phenylacetyl)amino]benzoic acid;H2O	Phenylacetic acid;5-Amino-2-nitrobenzoic acid	7.0	30.0	[ 50 mM phosphate,  50 mM phosphate]	[unknown, unknown, unknown, unknown, unknown]	8105			11985586
SABIO-RK	11615	Escherichia coli	P06875	3.5.1.11	kcat	kcat		50.0		-	1/s	H2O;2-Phenylacetamide	Phenylacetic acid;NH3	7.0	30.0	[ 50 mM phosphate,  50 mM phosphate]	[unknown, unknown, unknown, unknown, unknown]	2459	R02540		11985586
