source	sabiork_entry_id	organism	uniprot_id	ec_number	parameter.name	param_type	substrate_from_param	kcat_value	kcat_value_end	parameter.standardDeviation	kcat_unit	substrate	Product	pH	temperature_C	buffer	cellular_location	sabiork_reaction_id	kegg_reaction_id	reactome_reaction_id	pubmed_id
SABIO-RK	75493	Escherichia coli	P77154	2.4.1.230	kcat	kcat		1.1		1E-1	1/s	Kojibiose;Phosphate	beta-D-Glucose 1-phosphate;D-Glucose	7.5	30.0	[50 mM HEPES/K+, 100 mM KCl, 5.0 mM MgCl2, 5.0 mM NADP+, 1.0 ÂµM YcjU, 3 U glucose-6-phosphate dehydrogenase, 50 mM HEPES/K+, 100 mM KCl, 5.0 mM MgCl2, 5.0 mM NADP+, 1.0 ÂµM YcjU, 3 U glucose-6-phosphate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	16419			29684280
SABIO-RK	75494	Escherichia coli	P77154	2.4.1.230	kcat	kcat		0.8		1E-1	1/s	beta-D-Glucose 1-phosphate;D-Glucose	Kojibiose;Phosphate	7.5	30.0	[50 mM HEPES/K+, 50 mM HEPES/K+]	[unknown, unknown, unknown, unknown, unknown]	16419			29684280
SABIO-RK	75495	Escherichia coli	P77154	2.4.1.230	kcat	kcat		0.014		1E-3	1/s	beta-D-Glucose 1-phosphate;H2O	D-Glucose;Phosphate	7.5	30.0	[50 mM HEPES/K+, 100 mM KCl, 50 mM HEPES/K+, 100 mM KCl]	[unknown, unknown, unknown, unknown, unknown]	16420			29684280
SABIO-RK	75496	Escherichia coli	P77154	2.4.1.230	kcat	kcat		0.8		1E-1	1/s	Phosphate;Kojibiose	beta-D-Glucose 1-phosphate;D-Glucose	7.5	30.0	[50 mM HEPES/K+, 100 mM KCl, 5.0 mM MgCl2, 5.0 ATP, 5.0 mM NADP+, 3 U glucose-6-phosphate dehydrogenase, 2 U hexokinase, 50 mM HEPES/K+, 100 mM KCl, 5.0 mM MgCl2, 5.0 ATP, 5.0 mM NADP+, 3 U glucose-6-phosphate dehydrogenase, 2 U hexokinase]	[unknown, unknown, unknown, unknown, unknown]	16419			29684280
SABIO-RK	75497	Escherichia coli	P77154	2.4.1.230	kcat	kcat		1.2		5E-1	1/s	beta-D-Glucose 1-phosphate;L-Sorbose	alpha-(1,5)-D-Glucose-L-sorbose;Phosphate	7.5	30.0	[50 mM HEPES/K+, 50 mM HEPES/K+]	[unknown, unknown, unknown, unknown, unknown]	16421			29684280
SABIO-RK	75498	Escherichia coli	P77154	2.4.1.230	kcat	kcat		1.3		4E-1	1/s	L-Iditol;beta-D-Glucose 1-phosphate	alpha-(1,2)-D-Glucose-L-iditol;Phosphate	7.5	30.0	[50 mM HEPES/K+, 50 mM HEPES/K+]	[unknown, unknown, unknown, unknown, unknown]	16422			29684280
SABIO-RK	75499	Escherichia coli	P77154	2.4.1.230	kcat	kcat		1.2		3E-1	1/s	D-Sorbitol;beta-D-Glucose 1-phosphate	alpha-(1,2)-D-Glucose-D-sorbitol;Phosphate	7.5	30.0	[50 mM HEPES/K+, 50 mM HEPES/K+]	[unknown, unknown, unknown, unknown, unknown]	16423			29684280
SABIO-RK	75500	Escherichia coli	P77154	2.4.1.230	kcat	kcat		1.05		3E-2	1/s	beta-D-Glucose 1-phosphate;1,5-Anhydro-D-glucitol	Phosphate;alpha-(1,2)-D-Glucose-anhydro-D-glucitol	7.5	30.0	[50 mM HEPES/K+, 50 mM HEPES/K+]	[unknown, unknown, unknown, unknown, unknown]	16424			29684280
SABIO-RK	75501	Escherichia coli	P77366	5.4.2.6	kcat	kcat		21.0		1E0	1/s	beta-D-Glucose 1-phosphate	beta-D-Glucose 6-phosphate	8.0	30.0	[50 mM HEPES/K+, 2.0 mM MgCl2, 2.0 mM NADP+, 2 U glucose-6-phosphate dehydrogenase, 50 mM HEPES/K+, 2.0 mM MgCl2, 2.0 mM NADP+, 2 U glucose-6-phosphate dehydrogenase]	[unknown, unknown, unknown, unknown]	2618	R02728		29684280
SABIO-RK	75502	Escherichia coli	P77366	5.4.2.6	kcat	kcat		0.5		1E-1	1/s	D-Glucose 6-phosphate	D-Glucose 1-phosphate	8.0	30.0	[50 mM HEPES/K+, 2.0 mM MgCl2, 2.0 mM NADP+, 2 U glucose-6-phosphate dehydrogenase, 50 mM HEPES/K+, 2.0 mM MgCl2, 2.0 mM NADP+, 2 U glucose-6-phosphate dehydrogenase]	[unknown, unknown, unknown, unknown]	7674	R08639		29684280
