scenario,mu_glc_at_ATPM3.15,mu_ac_at_ATPM3.15,ATPM_for_mu0.22_glc
ED_pathway_disabled,0.21747281464532517,0.37831679782696653,2.818616500545602
ComplexI_non_pumping_plus_GAM_50ATP,0.4221461603573433,0.2974464179985155,26.88517256512234
ComplexI_disabled,0.4745942592161871,0.33401620269178284,30.985577695920554
ComplexI_non_pumping,0.4745942592193545,0.33401620269147253,30.985577695921336
GAM_50ATP,0.5011528057897764,0.34398531452282455,46.01933533632014
PPDK_forward_only,0.5465172910911442,0.3476151365090888,49.94173698189023
baseline,0.551659103470451,0.3783167981165343,50.11974046711825
