Rank,gene_callers_id,DSS3_ac_mean_abund,DSS3_glc_mean_abund,DSS3_late_mean_abund,DSS3_early_mean_abund,DSS3_ac_v_DSS3_glc_FOLD_CHANGE_rna,DSS3_ac_v_DSS3_late_FOLD_CHANGE_rna,DSS3_ac_v_DSS3_early_FOLD_CHANGE_rna,DSS3_glc_v_DSS3_late_FOLD_CHANGE_rna,DSS3_glc_v_DSS3_early_FOLD_CHANGE_rna,DSS3_late_v_DSS3_early_FOLD_CHANGE_rna,ANOVA p-value,BH_crit,BH_valid,DSS3_ac_v_DSS3_glc_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_late_v_DSS3_early_Tukey_HSD_adjusted_p,SPO_ID (ACCESSION),KOfam (ACCESSION),KEGG_Module,COG20_FUNCTION,n_matches,frame_id,n_reactions,reaction_ids
15,351,0.032424158,0.004597131,0.002837434,0.030489213,2.822420189,3.518669483,0.087508133,0.696249294,-2.734912056,-3.43116135,1.33732791818335e-09,0.000172731,TRUE,0,0,,,,,SPO0352,K14451,Ethylmalonyl pathway,Citrate lyase beta subunit (CitE) (PDB:4ROQ),1,SPO_RS01790,0,
16,1063,0.000555949,0.007425265,0.002252967,0.000542747,-3.74770592,-2.021268098,0.026643846,1.726437822,3.774349766,2.047911944,1.36064915305253e-09,0.000184247,TRUE,,,,,,,SPO1063,,,"Forkhead associated (FHA) domain, binds pSer, pThr, pTyr (FHA) (PDB:2FEZ)",1,SPO_RS05395,0,
17,2266,0.003561127,0.000138267,0.000605511,0.000944981,4.780354874,2.562316371,1.918778791,-2.218038504,-2.861576083,-0.64353758,1.72475236037124e-09,0.000195762,TRUE,,,,,,,SPO2263,,,,1,SPO_RS11480,0,
18,692,0.088120192,0.003895553,0.002898692,0.060699122,4.505726932,4.928113113,0.538470455,0.422386181,-3.967256477,-4.389642658,1.7992560724755e-09,0.000207278,TRUE,0,0,0,,,,SPO0693,K14448,Ethylmalonyl pathway,Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC),1,SPO_RS03500,18,"RXN-13615, RXN-14229, RXN-14278, BUTYRYL-COA-DEHYDROGENASE-RXN, ACYLCOADEHYDROG-RXN, RXN-17783, RXN-17779, RXN-17775, RXN-9526, RXN-9538, RXN-9530, RXN-9521, RXN-22455, RXN-9542, RXN-9515, RXN-9534, ENOYL-ACP-REDUCT-NADPH-RXN, RXN-8959"
19,200,0.005630811,0.000404154,0.000625537,0.001314693,3.805035992,3.174610874,2.10253971,-0.630425118,-1.702496282,-1.072071164,2.22472242332316e-09,0.000218793,TRUE,,,,,,,SPO0202,K02383,,"Flagellar motility protein MotE, a chaperone for MotC folding (MotE) (PUBMED:15101977)",1,SPO_RS01030,0,
20,1811,0.016678413,0.001440791,0.001735153,0.010531146,3.532539278,3.265503607,0.662818948,-0.267035671,-2.86972033,-2.602684659,2.72094853600648e-09,0.000230309,TRUE,,0,0.0001,,,,SPO1809,K07182,,"Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains",1,SPO_RS09205,0,
21,1845,0.009786497,0.005051794,0.003413029,0.015942993,0.954331682,1.520185911,-0.703824238,0.565854229,-1.65815592,-2.224010149,2.82927014321657e-09,0.000241824,TRUE,0.0125,0.0077,0.0036,,,,SPO1843,K00820,"UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc","Fructoselysine-6-P-deglycase FrlB or related protein, duplicated sugar isomerase (SIS) domain (AgaS) (PDB:3C3J) (PUBMED:16153181)",1,SPO_RS09375,0,
22,2568,0.329136329,0.045621314,0.022478244,0.138201346,2.857109123,3.87782326,1.254308023,1.020714137,-1.6028011,-2.623515237,2.88904558899502e-09,0.000253339,TRUE,0,0,0,0.0256,,,SPO2573,K21395,,"TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component (FcbT1) (PDB:2HZK)",1,SPO_RS13055,0,
23,340,0.035108005,0.00727417,0.003753969,0.019613627,2.271463847,3.228133549,0.84253482,0.956669702,-1.428929027,-2.385598729,4.26358665472733e-09,0.000264855,TRUE,0,0,0,0.0046,,,SPO0343,K00658,"Citrate cycle (TCA cycle, Krebs cycle)","Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component (AceF) (PDB:1B5S)",1,SPO_RS01740,1,RXN0-1147
24,2314,0.057496169,0.015469511,0.007920147,0.044019272,1.896230984,2.867423291,0.386273631,0.971192307,-1.509957353,-2.481149659,4.63192331510063e-09,0.00027637,TRUE,0,0,0.0001,0.0013,,,SPO2312,K01681,"Citrate cycle (TCA cycle, Krebs cycle)",Aconitase A (AcnA) (PDB:1ACO),1,SPO_RS11715,3,"RXN-14047, ACONITATEDEHYDR-RXN, ACONITATEHYDR-RXN"
25,3777,0.077695463,0.00383995,0.00432975,0.003368306,4.337872539,4.165785595,4.531109182,-0.172086943,0.193236643,0.365323587,4.86634302912353e-09,0.000287886,TRUE,,,,,,,SPO3775,K02033,,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppB)",1,SPO_RS19160,0,
26,2815,0.088140321,0.033294674,0.0258528,0.070780019,1.405408215,1.774455762,0.316680345,0.369047546,-1.08872787,-1.457775416,5.05714353565378e-09,0.000299401,TRUE,0,0,0.0001,0.0062,,,SPO2819,K00325,,NAD/NADP transhydrogenase beta subunit (PntB) (PDB:1D4O),1,SPO_RS14320,1,PYRNUTRANSHYDROGEN-RXN
27,1060,0.000344746,0.006392894,0.002064304,0.000344214,-4.214148104,-2.582259215,0.004885159,1.631888889,4.219033264,2.587144374,5.4996160261581e-09,0.000310917,TRUE,,,,,,,SPO1060,,,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)",1,SPO_RS05380,0,
28,3844,0.006747746,0.003350292,0.053034327,0.002789179,1.013441445,-2.982433893,1.266166678,-3.995875337,0.252725233,4.24860057,5.61816920571723e-09,0.000322432,TRUE,,0.0001,,0.0001,,,SPO3842,K22737,,"Rubrerythrin, includes spore coat protein YhjR (YhjR) (PDB:2E0Z)",1,SPO_RS19495,0,
29,3776,0.362931709,0.004061644,0.00423486,0.006853405,6.47960648,6.420331412,5.739569169,-0.059275069,-0.740037311,-0.680762242,5.67649706195181e-09,0.000333947,TRUE,0,0,0,,,,SPO3774,K02035,,"ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)",1,SPO_RS19155,0,
30,196,0.004610826,0.000290035,0.000493283,0.000850441,3.991331901,3.224740951,2.441188978,-0.76659095,-1.550142923,-0.783551973,5.67685354533069e-09,0.000345463,TRUE,,,,,,,SPO0198,,,Flagellar biosynthesis/type III secretory pathway protein FliH (FliH) (PDB:5B0O),1,SPO_RS01010,0,
31,2556,0.010452619,0.004952607,0.004483754,0.005680352,1.078164781,1.222364966,0.879901835,0.144200186,-0.198262945,-0.342463131,6.50490275783164e-09,0.000356978,TRUE,0,0,0,0.0119,,,SPO2561,K21948,,"D-threonate/D-erythronate kinase OtnK and related C4-acid sugar kinases, YgbK/DUF1537 family (OtnK) (PDB:1YZY) (PUBMED:27402745)",1,SPO_RS12990,0,
32,202,0.007318781,0.001627273,0.002068384,0.002399967,2.169278616,1.823897539,1.613243078,-0.345381077,-0.556035538,-0.210654461,6.77403861737537e-09,0.000368494,TRUE,,,,,,,SPO0204,,,,1,SPO_RS01040,0,
33,1558,0.002217977,0.000463813,0.000359785,0.000442194,2.260687385,2.632625366,2.337472448,0.37193798,0.076785063,-0.295152918,7.44337857710121e-09,0.000380009,TRUE,,,,,,,SPO1555,K22515,,"NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F) (NuoF) (PDB:2FUG)!!!NADH:ubiquinone oxidoreductase 24 kD subunit (chain E) (NuoE) (PDB:5XF9)",1,SPO_RS07915,0,
34,1549,0.013576066,0.004591815,0.00129966,0.006419312,1.567035214,3.393394789,1.081889356,1.826359575,-0.485145858,-2.311505433,7.67485354072047e-09,0.000391525,TRUE,,,,,,,SPO1546,K02031,,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component (DppD) (PDB:4FWI)",1,SPO_RS07870,0,
35,1813,0.052187699,0.002508145,0.001952837,0.039443279,4.393618186,4.740626993,0.403779934,0.347008807,-3.989838252,-4.336847059,7.80619719428915e-09,0.00040304,TRUE,,,,,,,SPO1811,,,"Uncharacterized membrane protein, DUF4212 domain",1,SPO_RS09215,0,
36,2289,1.11613544,0.283925496,0.409575105,0.287307058,1.979479484,1.445881186,1.958884662,-0.533598298,-0.020594822,0.513003476,1.00101981179545e-08,0.000414556,TRUE,0,0,0,0.0038,,,SPO2287,,,N-acyl-homoserine lactone synthase LasI (autoinducer biosynthesis) (LasI) (PDB:1K4J),1,SPO_RS11595,7,"RXN-10020, RXN-10022, RXN-10023, RXN-10026, RXN-10024, 2.3.1.184-RXN, RXN-10025"
37,343,0.03353406,0.007662639,0.004210916,0.023718872,2.129848343,2.993361555,0.497878331,0.863513212,-1.631970012,-2.495483224,1.10740604609265e-08,0.000426071,TRUE,,,,,,,SPO0345,,,"Uncharacterized membrane protein YhaH, DUF805 family (yhaH)",1,SPO_RS01755,0,
